"id","y_1990","y_2000","y_2010","y_2019"
37063000101,304,451,399,787
37063000102,687,705,769,1034
37063000200,672,761,882,1192
37063000301,377,304,679,900
37063000302,1173,1239,1417,2052
37063000401,799,996,1137,1570
37063000402,288,423,990,1681
37063000500,706,627,487,1049
37063000600,1864,1710,1571,2270
37063000700,1007,1158,1159,2093
37063000900,76,69,96,138
37063001001,209,112,147,332
37063001002,249,275,176,234
37063001100,21,109,40,404
37063001301,211,148,65,149
37063001303,350,357,142,496
37063001304,291,202,207,423
37063001400,168,231,188,163
37063001501,32,43,0,65
37063001502,1460,1283,1011,2445
37063001503,0,8,13,37
37063001601,773,1345,1606,1867
37063001603,856,1471,1712,2257
37063001604,1435,1661,2167,2894
37063001705,811,957,1188,1787
37063001706,1334,1618,1758,2995
37063001707,1073,2001,2637,3708
37063001708,616,567,644,1274
37063001709,166,361,798,949
37063001710,518,693,694,994
37063001711,796,908,530,886
37063001801,400,716,675,1527
37063001802,223,837,886,627
37063001806,195,553,971,1443
37063001807,397,1124,1600,2290
37063001808,139,575,1168,4328
37063001809,150,616,1983,1963
37063001900,136,233,751,2051
37063002007,1901,2191,2245,3011
37063002008,1150,1641,1626,1942
37063002009,509,705,846,701
37063002013,1191,1585,1724,1916
37063002015,1512,1649,1390,1511
37063002016,1044,1142,1327,1557
37063002017,1686,2456,3527,4466
37063002018,1672,2894,3897,5664
37063002019,529,1931,2441,3456
37063002020,284,1034,2819,4079
37063002021,295,1074,1944,2663
37063002022,535,1950,1945,2324
37063002023,999,1523,1635,1690
37063002024,1670,2546,3257,3967
37063002025,842,1316,1979,2895
37063002026,618,966,1173,1820
37063002027,448,1243,2719,3817
37063002028,165,458,2094,5078
37063002100,535,1516,2070,2300
37063002200,206,269,514,1258
37063002300,111,67,69,322
37063980100,44,123,25,0
